Tm,Salary,Cap Hit,Player
TOR,"16,000,000","10,893,000","Marner, Mitchell"
TOR,"15,900,000","11,000,000",John Tavares
TOR,"15,900,000","11,634,000",Auston Matthews
EDM,"15,000,000","12,500,000",Connor McDavid
MTL,"15,000,000","10,500,000",Carey Price
SJS,"14,500,000","11,500,000",Erik Karlsson
NYR,"14,000,000","11,642,857",Artemi Panarin
DAL,"13,500,000","9,850,000",Tyler Seguin
DAL,"13,000,000","9,500,000",Jamie Benn
VEG,"12,000,000","9,500,000",Mark Stone
CAR,"12,000,000","8,454,000",Sebastian Aho
COL,"12,000,000","9,250,000",Mikko Rantanen
WSH,"12,000,000","8,000,000",John Carlson
LAK,"12,000,000","11,000,000",Drew Doughty
TBL,"12,000,000","9,500,000",Nikita Kucherov
NYR,"12,000,000","8,000,000",Jacob Trouba
FLA,"11,500,000","10,000,000",Sergei Bobrovsky
LAK,"11,000,000","10,000,000",Anze Kopitar
VEG,"10,500,000","7,000,000",Max Pacioretty
BUF,"10,000,000","10,000,000",Jack Eichel
SJS,"10,000,000","8,000,000",Logan Couture
WPG,"10,000,000","8,250,000",Blake Wheeler
NJD,"10,000,000","9,000,000",P.K. Subban
WSH,"10,000,000","9,538,462",Alex Ovechkin
SJS,"10,000,000","8,000,000",Brent Burns
NSH,"10,000,000","8,000,000",Matt Duchene
BUF,"10,000,000","9,000,000",Jeff Skinner
CHI,"9,800,000","10,500,000",Jonathan Toews
CHI,"9,800,000","10,500,000",Patrick Kane
STL,"9,500,000","7,500,000",Vladimir Tarasenko
TBL,"9,500,000","8,500,000",Steven Stamkos
PHI,"9,250,000","8,250,000",Jakub Voracek
MIN,"9,000,000","7,538,461",Ryan Suter
MIN,"9,000,000","7,538,461",Zach Parise
PIT,"9,000,000","8,700,000",Sidney Crosby
TOR,"9,000,000","6,962,366",William Nylander
PHI,"9,000,000","7,142,857",Kevin Hayes
FLA,"9,000,000","7,500,000",Aaron Ekblad
NYI,"9,000,000","7,000,000",Anders Lee
EDM,"9,000,000","8,500,000",Leon Draisaitl
VEG,"8,500,000","7,000,000",Marc-Andre Fleury
WSH,"8,400,000","7,800,000",Evgeny Kuznetsov
TBL,"8,400,000","6,750,000",Ryan McDonagh
ANA,"8,275,000","8,250,000",Ryan Getzlaf
TBL,"8,000,000","7,875,000",Victor Hedman
DAL,"8,000,000","7,000,000",Joe Pavelski
PHI,"8,000,000","7,000,000",James van Riemsdyk
WSH,"8,000,000","6,700,000",Nicklas Backstrom
NYI,"8,000,000","6,000,000",Brock Nelson
ARI,"8,000,000","8,250,000",Oliver Ekman-Larsson
PHI,"8,000,000","8,275,000",Claude Giroux
SJS,"8,000,000","7,000,000",Evander Kane
NSH,"8,000,000","8,000,000",Ryan Johansen
NSH,"7,700,000","6,250,000",Ryan Ellis
OTT,"7,500,000","7,250,000",Bobby Ryan
ANA,"7,500,000","6,500,000",Cam Fowler
BOS,"7,500,000","6,125,000",Brad Marchand
WPG,"7,500,000","7,142,857",Kyle Connor
STL,"7,500,000","6,500,000",Alex Pietrangelo
CHI,"7,500,000","6,875,000",Brent Seabrook
MIN,"7,400,000","6,000,000","Dumba, Matt"
CBJ,"7,375,000","5,875,000",Cam Atkinson
PIT,"7,250,000","7,250,000",Kris Letang
SJS,"7,250,000","7,000,000",Marc-Edouard Vlasic
PIT,"7,000,000","6,000,000",Jake Guentzel
DET,"7,000,000","6,100,000",Dylan Larkin
VAN,"7,000,000","6,000,000",Tyler Myers
VAN,"7,000,000","6,000,000",Alexander Edler
DAL,"7,000,000","5,800,000",Esa Lindell
LAK,"7,000,000","5,800,000",Jonathan Quick
NYR,"7,000,000","8,500,000",Henrik Lundqvist
FLA,"6,900,000","5,900,000",Aleksander Barkov
BOS,"6,800,000","6,666,666",David Pastrnak
WPG,"6,750,000","6,125,000",Mark Scheifele
CGY,"6,750,000","6,750,000",Johnny Gaudreau
CGY,"6,750,000","6,750,000",Mark Giordano
CHI,"6,750,000","6,000,000",Brandon Saad
COL,"6,750,000","6,300,000",Nathan MacKinnon
SJS,"6,750,000","5,750,000",Martin Jones
PHI,"6,750,000","6,750,000",Ivan Provorov
CGY,"6,750,000","6,375,000",Sean Monahan
DAL,"6,600,000","6,250,000",Alexander Radulov
BOS,"6,500,000","7,000,000",Tuukka Rask
WSH,"6,500,000","5,750,000",T.J. Oshie
NSH,"6,500,000","5,750,000",Mikael Granlund
WSH,"6,500,000","5,100,000",Dmitry Orlov
WPG,"6,500,000","5,291,666",Bryan Little
VEG,"6,500,000","6,500,000",Paul Stastny
WPG,"6,500,000","6,000,000",Nikolaj Ehlers
ANA,"6,400,000","6,400,000",John Gibson
TBL,"6,300,000","5,166,666",Yanni Gourde
SJS,"6,250,000","5,625,000",Tomas Hertl
MIN,"6,250,000","5,500,000",Jason Zucker
CAR,"6,250,000","5,400,000",Teuvo Teravainen
FLA,"6,200,000","5,900,000",Jonathan Huberdeau
CAR,"6,000,000","6,000,000",Jordan Staal
MTL,"6,000,000","7,857,143",Shea Weber
PIT,"6,000,000","5,500,000",Justin Schultz
VAN,"6,000,000","5,250,000",J.T. Miller
WPG,"6,000,000","6,750,000",Patrik Laine
COL,"6,000,000","5,571,429",Gabriel Landeskog
VEG,"6,000,000","5,000,000",Jonathan Marchessault
WPG,"6,000,000","6,166,666",Connor Hellebuyck
CBJ,"6,000,000","5,500,000",Gustav Nyquist
NYI,"6,000,000","5,500,000",Nick Leddy
