Tm,Salary,Cap Hit,Player
TOR,"16,000,000","10,893,000",Mitch Marner
TOR,"15,900,000","11,000,000",John Tavares
TOR,"15,900,000","11,634,000",Auston Matthews
MTL,"15,000,000","10,500,000",Carey Price
EDM,"15,000,000","12,500,000",Connor McDavid
NYR,"14,000,000","11,642,857",Artemi Panarin
DAL,"13,500,000","9,850,000",Tyler Seguin
DAL,"13,000,000","9,500,000",Jamie Benn
NYR,"12,000,000","8,000,000",Jacob Trouba
LAK,"12,000,000","11,000,000",Drew Doughty
WSH,"12,000,000","8,000,000",John Carlson
VEG,"12,000,000","9,500,000",Mark Stone
CAR,"12,000,000","8,454,000",Sebastian Aho
TBL,"12,000,000","9,500,000",Nikita Kucherov
FLA,"11,500,000","10,000,000",Sergei Bobrovsky
LAK,"11,000,000","10,000,000",Anze Kopitar
VEG,"10,500,000","7,000,000",Max Pacioretty
BUF,"10,000,000","9,000,000",Jeff Skinner
NJD,"10,000,000","9,000,000",P.K. Subban
BUF,"10,000,000","10,000,000",Jack Eichel
WPG,"10,000,000","8,250,000",Blake Wheeler
WSH,"10,000,000","9,538,462",Alex Ovechkin
SJS,"10,000,000","8,000,000",Brent Burns
SJS,"10,000,000","8,000,000",Logan Couture
NSH,"10,000,000","8,000,000",Matt Duchene
CHI,"9,800,000","10,500,000",Patrick Kane
CHI,"9,800,000","10,500,000",Jonathan Toews
PIT,"9,500,000","9,500,000",Evgeni Malkin
TBL,"9,500,000","8,500,000",Steven Stamkos
PHI,"9,250,000","8,250,000",Jakub Voracek
MIN,"9,000,000","7,538,461",Ryan Suter
EDM,"9,000,000","8,500,000",Leon Draisaitl
FLA,"9,000,000","7,500,000",Aaron Ekblad
NYI,"9,000,000","7,000,000",Anders Lee
MIN,"9,000,000","7,538,461",Zach Parise
PHI,"9,000,000","7,142,857",Kevin Hayes
PIT,"9,000,000","8,700,000",Sidney Crosby
TOR,"9,000,000","6,962,366",William Nylander
VEG,"8,800,000","5,950,000",Nate Schmidt
VEG,"8,500,000","7,000,000",Marc-Andre Fleury
WSH,"8,400,000","7,800,000",Evgeny Kuznetsov
ANA,"8,275,000","8,250,000",Ryan Getzlaf
PHI,"8,000,000","8,275,000",Claude Giroux
DAL,"8,000,000","7,000,000",Joe Pavelski
NSH,"8,000,000","8,000,000",Ryan Johansen
NYI,"8,000,000","6,000,000",Brock Nelson
WSH,"8,000,000","6,700,000",Nicklas Backstrom
PHI,"8,000,000","7,000,000",James van Riemsdyk
SJS,"8,000,000","7,000,000",Evander Kane
TBL,"8,000,000","7,875,000",Victor Hedman
ARI,"8,000,000","8,250,000",Oliver Ekman-Larsson
NSH,"7,700,000","6,250,000",Ryan Ellis
OTT,"7,500,000","7,250,000",Bobby Ryan
BOS,"7,500,000","6,125,000",Brad Marchand
WPG,"7,500,000","7,142,857",Kyle Connor
STL,"7,500,000","6,500,000",Alex Pietrangelo
ANA,"7,500,000","6,500,000",Cam Fowler
MIN,"7,400,000","6,000,000","Dumba, Matt"
NYI,"7,250,000","5,500,000",Jordan Eberle
SJS,"7,250,000","7,000,000",Marc-Edouard Vlasic
PIT,"7,250,000","7,250,000",Kris Letang
NYR,"7,000,000","8,500,000",Henrik Lundqvist
LAK,"7,000,000","5,800,000",Jonathan Quick
VAN,"7,000,000","6,000,000",Tyler Myers
DAL,"7,000,000","5,800,000",Esa Lindell
VAN,"7,000,000","6,000,000",Alexander Edler
BOS,"7,000,000","7,250,000",David Krejci
DET,"7,000,000","6,100,000",Dylan Larkin
FLA,"6,900,000","5,900,000",Aleksander Barkov
BOS,"6,800,000","6,666,666",David Pastrnak
PHI,"6,750,000","6,750,000",Ivan Provorov
WPG,"6,750,000","6,125,000",Mark Scheifele
COL,"6,750,000","6,300,000",Nathan MacKinnon
CGY,"6,750,000","6,375,000",Sean Monahan
SJS,"6,750,000","5,750,000",Martin Jones
CHI,"6,750,000","6,000,000",Brandon Saad
CGY,"6,750,000","6,750,000",Johnny Gaudreau
CGY,"6,750,000","6,750,000",Mark Giordano
